school;variable;value
1;schgend;mixed
2;schgend;girls
3;schgend;mixed
4;schgend;mixed
5;schgend;mixed
6;schgend;girls
7;schgend;girls
8;schgend;girls
9;schgend;mixed
10;schgend;mixed
11;schgend;boys
12;schgend;mixed
13;schgend;mixed
14;schgend;mixed
15;schgend;mixed
16;schgend;girls
17;schgend;mixed
18;schgend;girls
19;schgend;mixed
20;schgend;mixed
21;schgend;girls
22;schgend;mixed
23;schgend;mixed
24;schgend;boys
25;schgend;girls
26;schgend;mixed
27;schgend;boys
28;schgend;mixed
29;schgend;girls
30;schgend;girls
31;schgend;girls
32;schgend;mixed
33;schgend;mixed
34;schgend;mixed
35;schgend;girls
36;schgend;boys
37;schgend;boys
38;schgend;mixed
39;schgend;girls
40;schgend;boys
41;schgend;girls
42;schgend;mixed
43;schgend;mixed
44;schgend;boys
45;schgend;mixed
46;schgend;mixed
47;schgend;mixed
48;schgend;girls
49;schgend;girls
50;schgend;mixed
51;schgend;mixed
52;schgend;boys
53;schgend;girls
54;schgend;mixed
55;schgend;mixed
56;schgend;mixed
57;schgend;boys
58;schgend;girls
59;schgend;mixed
60;schgend;girls
61;schgend;mixed
62;schgend;mixed
63;schgend;mixed
64;schgend;boys
65;schgend;girls
1;type;Mxd
2;type;Sngl
3;type;Mxd
4;type;Mxd
5;type;Mxd
6;type;Sngl
7;type;Sngl
8;type;Sngl
9;type;Mxd
10;type;Mxd
11;type;Sngl
12;type;Mxd
13;type;Mxd
14;type;Mxd
15;type;Mxd
16;type;Sngl
17;type;Mxd
18;type;Sngl
19;type;Mxd
20;type;Mxd
21;type;Sngl
22;type;Mxd
23;type;Mxd
24;type;Sngl
25;type;Sngl
26;type;Mxd
27;type;Sngl
28;type;Mxd
29;type;Sngl
30;type;Sngl
31;type;Sngl
32;type;Mxd
33;type;Mxd
34;type;Mxd
35;type;Sngl
36;type;Sngl
37;type;Sngl
38;type;Mxd
39;type;Sngl
40;type;Sngl
41;type;Sngl
42;type;Mxd
43;type;Mxd
44;type;Sngl
45;type;Mxd
46;type;Mxd
47;type;Mxd
48;type;Sngl
49;type;Sngl
50;type;Mxd
51;type;Mxd
52;type;Sngl
53;type;Sngl
54;type;Mxd
55;type;Mxd
56;type;Mxd
57;type;Sngl
58;type;Sngl
59;type;Mxd
60;type;Sngl
61;type;Mxd
62;type;Mxd
63;type;Mxd
64;type;Sngl
65;type;Sngl
